,URL,Title,Part,Chapter,Division,Subchapter,Rule,Source Note
10,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=1&ch=3&rl=75,TITLE 1: ADMINISTRATION,PART 1: OFFICE OF THE GOVERNOR,CHAPTER 3: PUBLIC SAFETY OFFICE,,SUBCHAPTER B: GRANT BUDGET REQUIREMENTS,RULE §3.75: Personnel,"Source Note: The provisions of this §3.75 adopted to be effective February 24, 2000, 25 TexReg 1297; amended to be effective July 16, 2000, 25 TexReg 6485; amended to be effective September 9, 2001, 26 TexReg 6645; amended to be effective December 16, 2002, 27 TexReg 11729; amended to be effective October 13, 2003, 28 TexReg 8873; amended to be effective June 9, 2004, 29 TexReg 5575; amended to be effective June 22, 2006, 31 TexReg 4855; amended to be effective June 21, 2009, 34 TexReg 3925; amended to be effective May 9, 2012, 37 TexReg 3389; amended to be effective April 27, 2021, 46 TexReg 2709"
11,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=1&ch=3&rl=77,TITLE 1: ADMINISTRATION,PART 1: OFFICE OF THE GOVERNOR,CHAPTER 3: PUBLIC SAFETY OFFICE,,SUBCHAPTER B: GRANT BUDGET REQUIREMENTS,RULE §3.77: Professional and Contractual Services,"Source Note: The provisions of this §3.77 adopted to be effective February 24, 2000, 25 TexReg 1297; amended to be effective July 16, 2000, 25 TexReg 6485; amended to be effective December 16, 2002, 27 TexReg 11729; amended to be effective October 13, 2003, 28 TexReg 8873; amended to be effective June 9, 2004, 29 TexReg 5575; amended to be effective June 21, 2009, 34 TexReg 3925"
12,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=1&ch=3&rl=79,TITLE 1: ADMINISTRATION,PART 1: OFFICE OF THE GOVERNOR,CHAPTER 3: PUBLIC SAFETY OFFICE,,SUBCHAPTER B: GRANT BUDGET REQUIREMENTS,RULE §3.79: Travel and Training,"Source Note: The provisions of this §3.79 adopted to be effective February 24, 2000, 25 TexReg 1297; amended to be effective July 16, 2000, 25 TexReg 6485; amended to be effective September 9, 2001, 26 TexReg 6645; amended to be effective December 16, 2002, 27 TexReg 11729; amended to be effective October 13, 2003, 28 TexReg 8873; amended to be effective June 9, 2004, 29 TexReg 5575; amended to be effective February 17, 2005, 30 TexReg 661; amended to be effective June 22, 2006, 31 TexReg 4855; amended to be effective June 21, 2009, 34 TexReg 3925; amended to be effective April 27, 2021, 46 TexReg 2709"
13,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=1&ch=3&rl=81,TITLE 1: ADMINISTRATION,PART 1: OFFICE OF THE GOVERNOR,CHAPTER 3: PUBLIC SAFETY OFFICE,,SUBCHAPTER B: GRANT BUDGET REQUIREMENTS,RULE §3.81: Equipment,"Source Note: The provisions of this §3.81 adopted to be effective February 24, 2000, 25 TexReg 1297; amended to be effective September 9, 2001, 26 TexReg 6645; amended to be effective March 17, 2002, 27 TexReg 1693; amended to be effective December 16, 2002, 27 TexReg 11729; amended to be effective October 13, 2003, 28 TexReg 8873; amended to be effective June 9, 2004, 29 TexReg 5575; amended to be effective June 22, 2006, 31 TexReg 4855; amended to be effective August 6, 2007, 32 TexReg 4747; amended to be effective June 21, 2009, 34 TexReg 3925; amended to be effective May 9, 2012, 37 TexReg 3389; amended to be effective April 27, 2021, 46 TexReg 2709"
14,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=1&ch=3&rl=83,TITLE 1: ADMINISTRATION,PART 1: OFFICE OF THE GOVERNOR,CHAPTER 3: PUBLIC SAFETY OFFICE,,SUBCHAPTER B: GRANT BUDGET REQUIREMENTS,RULE §3.83: Supplies and Direct Operating Expenses,"Source Note: The provisions of this §3.83 adopted to be effective February 24, 2000, 25 TexReg 1297; amended to be effective July 16, 2000, 25 TexReg 6485; amended to be effective December 16, 2002, 27 TexReg 11729; amended to be effective October 13, 2003, 28 TexReg 8873; amended to be effective June 9, 2004, 29 TexReg 5575; amended to be effective August 6, 2007, 32 TexReg 4747; amended to be effective June 21, 2009, 34 TexReg 3925"
15,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=1&ch=3&rl=85,TITLE 1: ADMINISTRATION,PART 1: OFFICE OF THE GOVERNOR,CHAPTER 3: PUBLIC SAFETY OFFICE,,SUBCHAPTER B: GRANT BUDGET REQUIREMENTS,RULE §3.85: Indirect Costs,"Source Note: The provisions of this §3.85 adopted to be effective February 24, 2000, 25 TexReg 1297; amended to be effective December 16, 2002, 27 TexReg 11729; amended to be effective October 13, 2003, 28 TexReg 8873; amended to be effective June 9, 2004, 29 TexReg 5575; amended to be effective August 6, 2007, 32 TexReg 4747; amended to be effective January 1, 2015, 39 TexReg 10393; amended to be effective April 27, 2021, 46 TexReg 2709"
16,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=1&ch=3&rl=87,TITLE 1: ADMINISTRATION,PART 1: OFFICE OF THE GOVERNOR,CHAPTER 3: PUBLIC SAFETY OFFICE,,SUBCHAPTER B: GRANT BUDGET REQUIREMENTS,RULE §3.87: Program Income,"Source Note: The provisions of this §3.87 adopted to be effective February 24, 2000, 25 TexReg 1297; amended to be effective July 16, 2000, 25 TexReg 6485; amended to be effective December 16, 2002, 27 TexReg 11729; amended to be effective April 2, 2003, 28 TexReg 2737; amended to be effective October 13, 2003, 28 TexReg 8873; amended to be effective February 17, 2005, 30 TexReg 661; amended to be effective June 22, 2006, 31 TexReg 4855; amended to be effective June 21, 2009, 34 TexReg 3925; amended to be effective April 27, 2021, 46 TexReg 2709"
17,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=1&ch=3&rl=2001,TITLE 1: ADMINISTRATION,PART 1: OFFICE OF THE GOVERNOR,CHAPTER 3: PUBLIC SAFETY OFFICE,,SUBCHAPTER D: CONDITIONS OF GRANT FUNDING,RULE §3.2001: Conditions of Funding,"Source Note: The provisions of this §3.2001 adopted to be effective February 24, 2000, 25 TexReg 1297; amended to be effective December 16, 2002, 27 TexReg 11729; amended to be effective October 13, 2003, 28 TexReg 8873; amended to be effective June 21, 2009, 34 TexReg 3925; amended to be effective April 27, 2021, 46 TexReg 2709"
18,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=1&ch=3&rl=2009,TITLE 1: ADMINISTRATION,PART 1: OFFICE OF THE GOVERNOR,CHAPTER 3: PUBLIC SAFETY OFFICE,,SUBCHAPTER D: CONDITIONS OF GRANT FUNDING,RULE §3.2009: Cooperative Working Agreement,"Source Note: The provisions of this §3.2009 adopted to be effective February 24, 2000, 25 TexReg 1297; amended to be effective July 16, 2000, 25 TexReg 6485; amended to be effective December 16, 2002, 27 TexReg 11729; amended to be effective October 13, 2003, 28 TexReg 8873; amended to be effective June 9, 2004, 29 TexReg 5575; amended to be effective June 22, 2006, 31 TexReg 4855; amended to be effective June 21, 2009, 34 TexReg 3925; amended to be effective April 27, 2021, 46 TexReg 2709"
19,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=1&ch=3&rl=2013,TITLE 1: ADMINISTRATION,PART 1: OFFICE OF THE GOVERNOR,CHAPTER 3: PUBLIC SAFETY OFFICE,,SUBCHAPTER D: CONDITIONS OF GRANT FUNDING,RULE §3.2013: Pre-Approval Requirements for Procurement,"Source Note: The provisions of this §3.2013 adopted to be effective February 24, 2000, 25 TexReg 1297; amended to be effective September 9, 2001, 26 TexReg 6645; amended to be effective December 16, 2002, 27 TexReg 11729; amended to be effective October 13, 2003, 28 TexReg 8873; amended to be effective June 9, 2004, 29 TexReg 5575; amended to be effective June 21, 2009, 34 TexReg 3925; amended to be effective January 1, 2015, 39 TexReg 10393; amended to be effective April 27, 2021, 46 TexReg 2709"
20,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=1&ch=3&rl=2021,TITLE 1: ADMINISTRATION,PART 1: OFFICE OF THE GOVERNOR,CHAPTER 3: PUBLIC SAFETY OFFICE,,SUBCHAPTER D: CONDITIONS OF GRANT FUNDING,RULE §3.2021: Resolutions,"Source Note: The provisions of this §3.2021 adopted to be effective February 24, 2000, 25 TexReg 1297; amended to be effective July 16, 2000, 25 TexReg 6485; amended to be effective September 9, 2001, 26 TexReg 6645; amended to be effective December 16, 2002, 27 TexReg 11729; amended to be effective October 13, 2003, 28 TexReg 8873; amended to be effective June 21, 2009, 34 TexReg 3925; amended to be effective January 1, 2015, 39 TexReg 10393; amended to be effective April 27, 2021, 46 TexReg 2709"
21,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=1&ch=3&rl=2023,TITLE 1: ADMINISTRATION,PART 1: OFFICE OF THE GOVERNOR,CHAPTER 3: PUBLIC SAFETY OFFICE,,SUBCHAPTER D: CONDITIONS OF GRANT FUNDING,RULE §3.2023: Tax-Exempt and Nonprofit Information,"Source Note: The provisions of this §3.2023 adopted to be effective February 24, 2000, 25 TexReg 1297; amended to be effective December 16, 2002, 27 TexReg 11729; amended to be effective October 13, 2003, 28 TexReg 8873; amended to be effective August 6, 2007, 32 TexReg 4747; amended to be effective June 21, 2009, 34 TexReg 3925"
22,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=1&ch=3&rl=2025,TITLE 1: ADMINISTRATION,PART 1: OFFICE OF THE GOVERNOR,CHAPTER 3: PUBLIC SAFETY OFFICE,,SUBCHAPTER D: CONDITIONS OF GRANT FUNDING,RULE §3.2025: Civil Rights Liaison,"Source Note: The provisions of this §3.2025 adopted to be effective August 6, 2007, 32 TexReg 4747; amended to be effective June 21, 2009, 34 TexReg 3925; amended to be effective April 27, 2021, 46 TexReg 2709"
23,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=1&ch=3&rl=2501,TITLE 1: ADMINISTRATION,PART 1: OFFICE OF THE GOVERNOR,CHAPTER 3: PUBLIC SAFETY OFFICE,,SUBCHAPTER E: ADMINISTERING GRANTS,RULE §3.2501: Grant Officials,"Source Note: The provisions of this §3.2501 adopted to be effective February 24, 2000, 25 TexReg 1297; amended to be effective July 16, 2000, 25 TexReg 6485; amended to be effective September 9, 2001, 26 TexReg 6645; amended to be effective December 16, 2002, 27 TexReg 11729; amended to be effective October 13, 2003, 28 TexReg 8873; amended to be effective June 9, 2004, 29 TexReg 5575; amended to be effective February 17, 2005, 30 TexReg 661; amended to be effective August 6, 2007, 32 TexReg 4747; amended to be effective June 21, 2009, 34 TexReg 3925; amended to be effective May 9, 2012, 37 TexReg 3389; amended to be effective April 27, 2021, 46 TexReg 2709"
24,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=1&ch=3&rl=2503,TITLE 1: ADMINISTRATION,PART 1: OFFICE OF THE GOVERNOR,CHAPTER 3: PUBLIC SAFETY OFFICE,,SUBCHAPTER E: ADMINISTERING GRANTS,RULE §3.2503: Obligating Funds,"Source Note: The provisions of this §3.2503 adopted to be effective February 24, 2000, 25 TexReg 1297; amended to be effective July 16, 2000, 25 TexReg 6485; amended to be effective December 16, 2002, 27 TexReg 11729; amended to be effective April 27, 2021, 46 TexReg 2709"
25,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=1&ch=3&rl=2505,TITLE 1: ADMINISTRATION,PART 1: OFFICE OF THE GOVERNOR,CHAPTER 3: PUBLIC SAFETY OFFICE,,SUBCHAPTER E: ADMINISTERING GRANTS,RULE §3.2505: Retention of Records,"Source Note: The provisions of this §3.2505 adopted to be effective February 24, 2000, 25 TexReg 1297; amended to be effective December 16, 2002, 27 TexReg 11729; amended to be effective June 21, 2009, 34 TexReg 3925; amended to be effective April 27, 2021, 46 TexReg 2709"
26,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=1&ch=3&rl=2507,TITLE 1: ADMINISTRATION,PART 1: OFFICE OF THE GOVERNOR,CHAPTER 3: PUBLIC SAFETY OFFICE,,SUBCHAPTER E: ADMINISTERING GRANTS,RULE §3.2507: Financial Status Reports,"Source Note: The provisions of this §3.2507 adopted to be effective February 24, 2000, 25 TexReg 1297; amended to be effective September 9, 2001, 26 TexReg 6645; amended to be effective December 16, 2002, 27 TexReg 11729; amended to be effective October 13, 2003, 28 TexReg 8873; amended to be effective June 9, 2004, 29 TexReg 5575; amended to be effective August 6, 2007, 32 TexReg 4747; amended to be effective June 21, 2009, 34 TexReg 3925; amended to be effective January 1, 2015, 39 TexReg 10393; amended to be effective April 27, 2021, 46 TexReg 2709"
27,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=1&ch=3&rl=2509,TITLE 1: ADMINISTRATION,PART 1: OFFICE OF THE GOVERNOR,CHAPTER 3: PUBLIC SAFETY OFFICE,,SUBCHAPTER E: ADMINISTERING GRANTS,RULE §3.2509: Equipment Inventory Reports,"Source Note: The provisions of this §3.2509 adopted to be effective February 24, 2000, 25 TexReg 1297; amended to be effective December 16, 2002, 27 TexReg 11729; amended to be effective June 21, 2009, 34 TexReg 3925; amended to be effective April 27, 2021, 46 TexReg 2709"
28,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=1&ch=3&rl=2513,TITLE 1: ADMINISTRATION,PART 1: OFFICE OF THE GOVERNOR,CHAPTER 3: PUBLIC SAFETY OFFICE,,SUBCHAPTER E: ADMINISTERING GRANTS,RULE §3.2513: Grant Adjustments,"Source Note: The provisions of this §3.2513 adopted to be effective February 24, 2000, 25 TexReg 1297; amended to be effective September 9, 2001, 26 TexReg 6645; amended to be effective December 16, 2002, 27 TexReg 11729; amended to be effective October 13, 2003, 28 TexReg 8873; amended to be effective June 9, 2004, 29 TexReg 5575; amended to be effective August 6, 2007, 32 TexReg 4747; amended to be effective June 21, 2009, 34 TexReg 3925; amended to be effective April 27, 2021, 46 TexReg 2709"
29,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=1&ch=3&rl=2515,TITLE 1: ADMINISTRATION,PART 1: OFFICE OF THE GOVERNOR,CHAPTER 3: PUBLIC SAFETY OFFICE,,SUBCHAPTER E: ADMINISTERING GRANTS,RULE §3.2515: Bonding,"Source Note: The provisions of this §3.2515 adopted to be effective February 24, 2000, 25 TexReg 1297; amended to be effective July 16, 2000, 25 TexReg 6485; amended to be effective December 16, 2002, 27 TexReg 11729; amended to be effective June 9, 2004, 29 TexReg 5575; amended to be effective April 27, 2021, 46 TexReg 2709"
30,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=1&ch=3&rl=2517,TITLE 1: ADMINISTRATION,PART 1: OFFICE OF THE GOVERNOR,CHAPTER 3: PUBLIC SAFETY OFFICE,,SUBCHAPTER E: ADMINISTERING GRANTS,RULE §3.2517: Remedies for Noncompliance,"Source Note: The provisions of this §3.2517 adopted to be effective February 24, 2000, 25 TexReg 1297; amended to be effective December 16, 2002, 27 TexReg 11729; amended to be effective October 13, 2003, 28 TexReg 8873; amended to be effective June 21, 2009, 34 TexReg 3925; amended to be effective April 27, 2021, 46 TexReg 2709"
31,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=1&ch=3&rl=2519,TITLE 1: ADMINISTRATION,PART 1: OFFICE OF THE GOVERNOR,CHAPTER 3: PUBLIC SAFETY OFFICE,,SUBCHAPTER E: ADMINISTERING GRANTS,RULE §3.2519: Grant Reduction or Termination,"Source Note: The provisions of this §3.2519 adopted to be effective February 24, 2000, 25 TexReg 1297; amended to be effective December 5, 2001, 26 TexReg 9776; amended to be effective December 16, 2002, 27 TexReg 11729; amended to be effective October 13, 2003, 28 TexReg 8873; amended to be effective February 17, 2005, 30 TexReg 661; amended to be effective August 6, 2007, 32 TexReg 4747; amended to be effective June 21, 2009, 34 TexReg 3925; amended to be effective April 27, 2021, 46 TexReg 2709"
32,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=1&ch=3&rl=2521,TITLE 1: ADMINISTRATION,PART 1: OFFICE OF THE GOVERNOR,CHAPTER 3: PUBLIC SAFETY OFFICE,,SUBCHAPTER E: ADMINISTERING GRANTS,RULE §3.2521: Payment of Outstanding Liabilities,"Source Note: The provisions of this §3.2521 adopted to be effective February 24, 2000, 25 TexReg 1297; amended to be effective September 9, 2001, 26 TexReg 6645; amended to be effective December 16, 2002, 27 TexReg 11729; amended to be effective October 13, 2003, 28 TexReg 8873; amended to be effective June 22, 2006, 31 TexReg 4855; amended to be effective June 21, 2009, 34 TexReg 3925"
33,https://texreg.sos.state.tx.us/public/readtac$ext.TacPage?sl=R&app=9&p_dir=&p_rloc=&p_tloc=&p_ploc=&pg=1&p_tac=&ti=1&pt=1&ch=3&rl=2523,TITLE 1: ADMINISTRATION,PART 1: OFFICE OF THE GOVERNOR,CHAPTER 3: PUBLIC SAFETY OFFICE,,SUBCHAPTER E: ADMINISTERING GRANTS,RULE §3.2523: Violations of Laws,"Source Note: The provisions of this §3.2523 adopted to be effective February 24, 2000, 25 TexReg 1297; amended to be effective December 16, 2002, 27 TexReg 11729; amended to be effective June 22, 2006, 31 TexReg 4855; amended to be effective June 21, 2009, 34 TexReg 3925; amended to be effective April 27, 2021, 46 TexReg 2709"
